ID;lon;lat
2170;7.465;50.291
2189;6.842;50.35
2190;6.831;50.404
2191;6.829;50.407
2192;6.855;50.503
2193;6.857;50.524
2194;6.87;50.516
2195;6.874;50.515
2196;6.877;50.553
2200;7.42;50.529
2201;7.402;50.555
2202;7.406;50.54
2239;6.977;50.316
2240;6.952;50.341
2241;7.094;50.538
2242;7.131;50.547
2293;7.28;50.266
2294;7.255;50.342
2295;7.251;50.348
2296;7.252;50.351
2297;7.253;50.351
2298;7.254;50.372
2299;7.256;50.376
2300;7.274;50.367
2301;7.275;50.376
2302;7.237;50.389
2303;7.24;50.389
2304;7.286;50.43
2317;7.283;50.502
2318;7.242;50.518
2319;7.246;50.543
2320;7.245;50.554
2344;6.879;50.446
2345;6.914;50.519
2346;6.916;50.534
2347;6.878;50.537
2351;7.22;50.283
2352;7.223;50.302
2353;7.226;50.319
2354;7.218;50.337
2355;7.234;50.325
2356;7.225;50.353
2369;7.303;50.268
2370;7.304;50.271
2371;7.31;50.292
2372;7.315;50.295
2390;7.136;50.227
2391;7.137;50.231
2392;7.138;50.231
2393;7.142;50.23
2394;7.177;50.224
2395;7.171;50.302
2407;7.293;50.543
2410;7.058;50.318
2417;7.32;50.52
2423;7.076;50.343
2638;7.262;50.56
2639;7.263;50.565
2640;7.264;50.567
2641;7.269;50.561
2642;7.287;50.572
2644;7.287;50.59
2672;7.215;50.558
2673;7.216;50.578
2674;7.226;50.576
2675;7.24;50.573
2676;7.22;50.597
2677;7.223;50.594
2682;7.231;50.591
2683;7.235;50.589
2765;6.77;50.582
2802;7.448;50.594
2819;7.055;50.572
2820;7.089;50.57
2821;7.091;50.571
2822;7.091;50.593
2895;6.834;50.566
3052;7.34;50.591
3056;7.363;50.598
3178;6.788;50.592
3179;6.788;50.593
3201;7.313;50.567
3348;7.132;50.566
3365;7.009;50.592
3366;7.015;50.594
3367;7.015;50.593
3369;7.049;50.559
3370;7.05;50.56
3445;7.164;50.56
3555;7.486;50.565
3556;7.494;50.57
3873;6.997;50.576
4109;7.229;50.581
8983;6.96;50.471
8984;6.961;50.473
8987;7.083;50.533
9001;7.449;50.247
9004;7.483;50.224
9020;6.795;50.594
9028;7.452;50.563
9228;6.903;50.538
9242;6.773;50.584
9314;6.509;50.349
9332;7.475;50.445
9338;7.264;50.558
9440;7.285;50.562
9447;6.781;50.51
9508;7.472;50.486
9527;6.849;50.254
9529;6.782;50.514
9548;7.318;50.251
9549;7.27;50.577
9584;7.22;50.283
9608;7.457;50.301
9665;7.113;50.588
9677;7.229;50.294
9885;7.337;50.383
9887;7.345;50.318
9900;7.477;50.226
9910;7.207;50.558
10035;7.089;50.594
10103;7.419;50.449
10160;7.133;50.568
10171;7.078;50.34
10174;7.456;50.308
10277;6.647;50.568
10379;7.037;50.55
10406;7.26;50.548
10414;7.224;50.457
10415;7.22;50.596
10622;6.761;50.545
10696;7.476;50.421
10748;7.094;50.541
10822;6.588;50.559
10848;7.313;50.517
10858;7.464;50.511
10959;7.353;50.426
10960;7.419;50.452
10967;7.47;50.467
10973;7.153;50.389
11001;7.033;50.567
11153;6.547;50.544
11157;6.706;50.279
11181;6.821;50.477
11188;7.474;50.457
11189;7.476;50.465
11190;7.398;50.439
11191;7.342;50.384
11194;7.098;50.491
11198;7.278;50.265
11381;7.438;50.231
11385;6.759;50.552
11386;7.253;50.546
11392;7.166;50.569
11518;7.345;50.318
11528;6.729;50.307
11531;7.468;50.358
11545;7.39;50.441
11549;7.015;50.519
11551;7.27;50.542
11574;7.035;50.586
11575;7.042;50.586
