,station_id,elevation,lat,lon,original_id
204,Ebersberg-Halbing_7,591.5,48.1003,11.9872,1103
205,Ebrach_3,345.5,49.852,10.4991,1107
206,Edelsfeld_2,535.0,49.5767,11.6975,1119
207,Eggebek_2,17.0,54.6282,9.3649,1130
208,Eggenfelden_3,410.0,48.3956,12.7287,1132
209,Eichendorf_3,350.0,48.636,12.8531,1158
210,Eichstätt-Landershofen_5,384.0,48.8777,11.2349,1161
211,Eilenburg_5,106.89,51.4603,12.6687,1166
212,Eimen-Vorwohle_1,265.0,51.8873,9.728,1170
213,Eisenbach_3,976.0,47.9634,8.2693,1176
214,Ellwangen-Rindelbach_4,460.0,48.9895,10.1312,1197
215,Elpersbüttel_0,2.99,54.0691,9.0105,1200
216,"Elster, Bad-Sohl_7",557.5,50.2705,12.2742,1207
217,Elsterwerda_2,90.0,51.4505,13.5046,1210
218,Elzach-Fisnacht_1,430.5,48.2012,8.1088,1214
219,Elztal-Rittersbach_4,312.0,49.4251,9.243,1216
220,Ringe-Großringe_9,13.0,52.5983,6.9449,1223
221,Emmendingen-Mundingen_3,200.5,48.1378,7.8351,1224
222,Tacherting-Spreit_1,507.0,48.089,12.5073,1237
223,Enger_5,128.0,52.15,8.5226,1241
224,Ennigerloh-Ostenfelde_3,104.0,51.8418,8.0607,1246
225,Nentershausen (KA)_1,286.0,50.426,7.9395,1253
226,München-Flughafen_3,445.5,48.3477,11.8134,1262
227,Erfde_2,18.0,54.2992,9.3162,1266
228,Erfurt-Weimar_6,316.0,50.9829,10.9608,1270
229,Cremlingen-Destedt_0,160.0,52.2449,10.7182,1278
230,Möhrendorf-Kleinseebach_4,267.5,49.6497,11.0075,1279
231,Erlbach-Eubabrunn_5,565.0,50.3043,12.3834,1282
232,Eschbronn-Mariazell_4,715.5,48.1868,8.4672,1290
233,Eschwege_9,156.0,51.2041,10.0138,1297
234,Eslohe_2,351.0,51.254,8.1565,1300
235,Essen-Bredeney_9,150.0,51.4041,6.9677,1303
236,"Essen-Brockhausen, Bad_3",48.0,52.3345,8.3877,1304
237,Ettal-Linderhof_5,940.0,47.5665,10.9583,1313
238,Etzleben_3,137.0,51.261,11.1754,1320
239,Weilerswist-Lommersum_5,147.0,50.7119,6.7905,1327
240,"Falkenberg,Kr.Rottal-Inn_3",471.0,48.4832,12.7241,1332
241,"Fallingbostel, Bad_1",70.0,52.8568,9.6756,1336
242,"Feilnbach,Bad_2",476.0,47.7956,12.0161,1343
243,Feldberg/Schwarzwald_3,1489.6,47.8749,8.0038,1346
244,Felgentreu_2,48.0,52.0997,13.0016,1350
245,Fichtelberg/Oberfranken-Hüttstadl_5,654.5,49.9807,11.8376,1357
246,Fichtelberg_5,1213.0,50.4283,12.9536,1358
247,Finsing (Kraftwerk)_2,498.0,48.2213,11.7989,1366
248,Flossenbürg_3,621.0,49.7316,12.3489,1392
249,Birx/Rhön_4,747.0,50.5309,10.0479,1411
250,Frankfurt/Main_9,99.7,50.0259,8.5213,1420
251,Frankfurt/Main-Westend_1,124.0,50.1269,8.6694,1424
252,Ilmenau-Frauenwald_5,768.0,50.5921,10.8575,1435
