;snw_dth;snw_lpt;snw_aim;snw_pim;snw_mlt;sl0_mse;sl1_mse;sl0_prf;sl0_arf;sl1_etn;urr_dth;lrr_dth;urr_rnf;urr_pln;lrr_rnf;rnf_sfc;rnf_gnd;mod_bal
2001-02-11;0.000000;0.165994;0.000000;0.000000;0.000000;41.687344;189.636902;0.165994;0.154698;0.718779;5.355942;15.668603;1.471006;0.317956;0.181320;1.372215;0.280110;0.000009
2001-02-12;0.000000;4.402543;0.000000;0.000000;0.000000;41.832413;189.277481;4.402543;4.049157;0.567738;7.956956;15.743066;1.190765;0.257378;0.182915;1.144269;0.229411;0.000000
2001-02-13;0.000000;0.000000;0.000000;0.000000;0.000000;41.616108;188.843719;0.000000;0.000000;0.650065;5.924058;15.920586;1.671594;0.361303;0.183784;1.538713;0.316665;0.000001
2001-02-14;0.000000;0.000000;0.000000;0.000000;0.000000;41.392597;188.450989;0.000000;0.000000;0.616245;4.410545;16.003719;1.244524;0.268989;0.185856;1.191004;0.239376;-0.000004
2001-02-15;0.000000;0.000000;0.000000;0.000000;0.000000;41.153488;187.681625;0.000000;0.000000;1.008469;3.283715;16.017157;0.926566;0.200264;0.186827;0.931601;0.181791;0.000004
2001-02-16;0.000000;6.443624;0.000000;0.000000;0.000000;41.633118;187.056305;6.443624;5.707535;0.881772;8.039873;15.999254;0.782295;0.169082;0.186984;0.813637;0.155642;0.000009
2001-02-17;0.000000;0.714591;0.000000;0.000000;0.000000;41.436577;187.006454;0.714591;0.654739;0.306242;6.627644;16.179829;1.699619;0.367349;0.186775;1.564426;0.321968;0.000002
2001-02-18;0.000000;0.007342;0.000000;0.000000;0.000000;41.180805;186.933746;0.007342;0.006635;0.329189;4.940888;16.291895;1.392440;0.300950;0.188883;1.314902;0.266421;-0.000002
2001-02-19;0.000000;0.750390;0.000000;0.000000;0.000000;41.006245;186.779480;0.750390;0.665958;0.413260;4.331410;16.328371;1.048768;0.226668;0.190191;1.034760;0.204199;0.000000
2001-02-20;0.000000;0.280459;0.000000;0.000000;0.000000;40.778416;186.570450;0.280459;0.245835;0.471479;3.465798;16.335278;0.913923;0.197524;0.190617;0.924762;0.179778;0.000005
2001-02-21;0.000000;2.548422;0.000000;0.000000;0.000000;40.858334;186.247147;2.548422;2.197761;0.594058;4.734810;16.309635;0.763694;0.165055;0.190697;0.801849;0.152543;-0.000012
2001-02-22;0.000000;6.194863;0.000000;0.000000;0.000000;41.398895;185.972336;6.194863;5.373082;0.556036;8.792378;16.353027;1.081723;0.233790;0.190398;1.061931;0.210190;-0.000005
2001-02-23;5.634080;0.000000;0.000000;0.000000;0.000000;41.116852;185.860153;0.000000;0.000000;0.394229;6.546072;16.561329;1.847100;0.399207;0.190905;1.688989;0.349015;-0.000001
2001-02-24;6.195442;0.000000;0.000000;0.000000;0.000000;40.843136;186.120590;0.000000;0.000000;0.013270;4.873667;16.665201;1.375196;0.297208;0.193336;1.304910;0.263623;0.000009
2001-02-25;6.808652;0.000000;0.000000;0.000000;0.000000;40.571400;186.125427;0.000000;0.000000;0.266896;3.628535;16.691925;1.023858;0.221274;0.194549;1.018404;0.200003;0.000004
2001-02-26;7.098006;0.000000;0.000000;0.000000;0.000000;40.302818;186.180008;0.000000;0.000000;0.213999;2.701511;16.661806;0.762281;0.164742;0.194861;0.804549;0.152594;0.000001
2001-02-27;6.030775;0.000000;1.067231;0.000000;1.067231;40.208916;186.021820;1.067231;0.889390;0.429932;2.883194;16.593063;0.581939;0.125768;0.194509;0.656583;0.119866;0.000000
2001-02-28;4.207672;0.183127;1.715622;0.107481;1.823103;40.277439;185.819412;2.006230;1.660569;0.479560;3.774447;16.536074;0.632599;0.136717;0.193707;0.697313;0.128993;-0.000015
2001-03-01;3.629167;1.751918;0.361715;0.216790;0.578505;40.389740;185.751358;2.330423;1.938519;0.347654;4.710474;16.521189;0.824336;0.178157;0.193041;0.853665;0.163712;0.000003
2001-03-02;3.549620;0.297107;0.072208;0.007339;0.079547;40.167881;185.563828;0.376654;0.315870;0.470168;3.816678;16.543297;0.994691;0.214975;0.192868;0.992969;0.194590;0.000004
2001-03-03;5.281658;0.000000;0.000000;0.000000;0.000000;39.891964;185.757736;0.000000;0.000000;0.082020;2.841584;16.523457;0.801806;0.173287;0.193126;0.835299;0.159633;-0.000009
2001-03-04;0.130623;5.409356;1.807020;3.344015;5.151035;41.618233;185.573303;10.560390;8.541258;0.477296;10.488609;16.489481;0.735315;0.158918;0.192894;0.780651;0.147559;0.000000
2001-03-05;0.000000;0.193349;0.130623;0.000000;0.130623;41.352600;185.489929;0.323972;0.296527;0.376451;8.099638;16.774237;2.208247;0.477252;0.192498;1.986124;0.414620;-0.000001
2001-03-06;0.000000;1.294508;0.000000;0.000000;0.000000;41.178951;184.969681;1.294508;1.162902;0.825499;7.170327;16.950220;1.720406;0.371806;0.195822;1.589824;0.326404;0.000005
2001-03-07;0.000000;2.793347;0.000000;0.000000;0.000000;41.171181;184.324554;2.793347;2.478721;0.967509;7.768344;17.086557;1.546491;0.334212;0.197876;1.449349;0.295019;0.000014
2001-03-08;0.000000;1.163666;0.000000;0.000000;0.000000;40.966957;183.772491;1.163666;1.032029;0.887925;6.795392;17.243382;1.648688;0.356292;0.199468;1.534488;0.313668;-0.000001
2001-03-09;0.000000;2.485266;0.000000;0.000000;0.000000;40.933094;183.372955;2.485266;2.172356;0.746308;7.188879;17.358191;1.462763;0.316106;0.201299;1.383973;0.280089;-0.000000
2001-03-10;0.000000;7.818192;0.000000;0.000000;0.000000;41.568233;182.913254;7.818192;6.817355;0.825401;12.035340;17.505777;1.620668;0.350225;0.202639;1.514486;0.308821;-0.000003
2001-03-11;0.000000;5.006104;0.000000;0.000000;0.000000;41.623722;182.297546;5.006104;4.565967;1.000357;13.436612;17.863770;2.602342;0.562353;0.204362;2.319746;0.486958;-0.000002
2001-03-12;0.000000;2.336797;0.000000;0.000000;0.000000;41.415970;181.576721;2.336797;2.139663;1.125716;12.101412;18.272675;2.857418;0.617446;0.208541;2.532439;0.533519;-0.000005
2001-03-13;0.000000;6.244546;0.000000;0.000000;0.000000;41.606365;181.183517;6.244546;5.634829;0.812536;14.533666;18.628399;2.633536;0.569039;0.213314;2.353576;0.493274;-0.000010
2001-03-14;0.000000;2.300932;0.000000;0.000000;0.000000;41.369427;180.665558;2.300932;2.104259;0.951568;12.883553;19.077991;3.087313;0.667059;0.217467;2.728915;0.575865;0.000002
2001-03-15;0.000000;1.864805;0.000000;0.000000;0.000000;41.109535;180.158920;1.864805;1.677210;0.954122;11.236392;19.445908;2.733740;0.590631;0.222716;2.444318;0.512138;0.000000
